Eleitor#	Região	Candidato
57	Grande Méier	Pé de Pato do Lixo 
58	Oeste: Barra e JPA	Ferreira do Suvacão 
59	Grande Méier	Ferreira do Suvacão 
60	Oeste: Barra e JPA	Alessandro Fuscão 
61	Oeste: Outros	Capitã Cloroquina 
62	Grande Méier	Herminho Anão da VGC 
63	Grande Méier	Herminho Anão da VGC 
64	Oeste: Outros	Alessandro Fuscão 
65	Oeste: Barra e JPA	Alessandro Fuscão 
66	Norte	Enia da Toca da Onça 
67	Oeste: Grande Bangu	Dudu Cremoso 
68	Oeste: Grande Bangu	Capitã Cloroquina 
69	Norte	Pipi de Jorge 
70	Oeste: Barra e JPA	Pipi de Jorge 
71	Oeste: Barra e JPA	Enia da Toca da Onça 
72	Norte	Alessandro Fuscão 
73	Oeste: Grande Bangu	Enia da Toca da Onça 
74	Oeste: Barra e JPA	Adriano Pirulito 
75	Norte	Adriano Pirulito 
76	Oeste: Outros	Ferreira do Suvacão 
77	Grande Méier	Dudu Cremoso 
78	Oeste: Grande Bangu	Pé de Pato do Lixo 
79	Oeste: Barra e JPA	Herminho Anão da VGC 
80	Oeste: Barra e JPA	Pé de Pato do Lixo 
81	Norte	Pipi de Jorge 
82	Oeste: Outros	Pé de Pato do Lixo 
83	Oeste: Outros	Alessandro Fuscão 
84	Oeste: Barra e JPA	Zé Perninha 
85	Oeste: Outros	Adriano Pirulito 
86	Grande Méier	Alessandro Fuscão 
87	Oeste: Outros	Enia da Toca da Onça 
88	Oeste: Outros	Pé de Pato do Lixo 
89	Oeste: Outros	Dudu Cremoso 
90	Grande Méier	Alessandro Fuscão 
91	Norte	Capitã Cloroquina 
92	Oeste: Outros	Dudu Cremoso 
93	Oeste: Barra e JPA	Capitã Cloroquina 
94	Norte	Ferreira do Suvacão 
95	Oeste: Grande Bangu	Enia da Toca da Onça 
96	Norte	Pé de Pato do Lixo 
97	Oeste: Outros	Ferreira do Suvacão 
98	Oeste: Grande Bangu	Dudu Cremoso 
99	Oeste: Barra e JPA	Pipi de Jorge 
100	Oeste: Grande Bangu	Enia da Toca da Onça 
101	Norte	Alessandro Fuscão 
102	Grande Méier	Alessandro Fuscão 
103	Oeste: Barra e JPA	Dudu Cremoso 
104	Oeste: Grande Bangu	Pé de Pato do Lixo 
105	Oeste: Barra e JPA	Herminho Anão da VGC 
106	Oeste: Grande Bangu	Capitã Cloroquina 
107	Grande Méier	Adriano Pirulito 
108	Norte	Alessandro Fuscão 
109	Norte	Ferreira do Suvacão 
110	Grande Méier	Dudu Cremoso 
111	Oeste: Grande Bangu	Zé Perninha 
112	Norte	Zé Perninha 
113	Norte	Ferreira do Suvacão 
114	Oeste: Outros	Zé Perninha 
115	Oeste: Outros	Zé Perninha 
116	Grande Méier	Dudu Cremoso 
117	Norte	Alessandro Fuscão 
118	Oeste: Outros	Alessandro Fuscão 
119	Grande Méier	Zé Perninha 
120	Oeste: Barra e JPA	Pipi de Jorge 
121	Norte	Pipi de Jorge 
122	Oeste: Grande Bangu	Herminho Anão da VGC 
123	Norte	Adriano Pirulito 
124	Grande Méier	Herminho Anão da VGC 
125	Oeste: Grande Bangu	Ferreira do Suvacão 
126	Grande Méier	Capitã Cloroquina 
127	Grande Méier	Enia da Toca da Onça 
128	Grande Méier	Ferreira do Suvacão 
129	Oeste: Barra e JPA	Dudu Cremoso 
130	Oeste: Outros	Pé de Pato do Lixo 
131	Norte	Pipi de Jorge 
132	Norte	Alessandro Fuscão 
133	Grande Méier	Pipi de Jorge 
134	Oeste: Barra e JPA	Ferreira do Suvacão 
135	Oeste: Grande Bangu	Enia da Toca da Onça 
136	Grande Méier	Zé Perninha 
137	Oeste: Grande Bangu	Alessandro Fuscão 
138	Norte	Dudu Cremoso 
139	Oeste: Outros	Pé de Pato do Lixo 
140	Norte	Ferreira do Suvacão 
141	Oeste: Grande Bangu	Enia da Toca da Onça 
142	Norte	Pipi de Jorge 
143	Oeste: Outros	Alessandro Fuscão 
144	Oeste: Grande Bangu	Adriano Pirulito 
145	Oeste: Outros	Dudu Cremoso 
146	Norte	Adriano Pirulito 
147	Grande Méier	Enia da Toca da Onça 
148	Norte	Dudu Cremoso 
149	Oeste: Outros	Adriano Pirulito 
150	Oeste: Grande Bangu	Adriano Pirulito 
151	Norte	Zé Perninha 
152	Oeste: Barra e JPA	Pipi de Jorge 
153	Norte	Enia da Toca da Onça 
154	Grande Méier	Pipi de Jorge 
155	Norte	Pé de Pato do Lixo 
156	Grande Méier	Pipi de Jorge 
157	Oeste: Barra e JPA	Zé Perninha 
158	Oeste: Outros	Pipi de Jorge 
159	Norte	Capitã Cloroquina 
160	Grande Méier	Pipi de Jorge 
161	Norte	Dudu Cremoso 
162	Grande Méier	Dudu Cremoso 
163	Oeste: Outros	Pé de Pato do Lixo 
164	Oeste: Outros	Pé de Pato do Lixo 
165	Oeste: Barra e JPA	Dudu Cremoso 
166	Oeste: Outros	Pipi de Jorge 
167	Oeste: Grande Bangu	Pipi de Jorge 
168	Oeste: Barra e JPA	Ferreira do Suvacão 
169	Grande Méier	Alessandro Fuscão 
170	Oeste: Grande Bangu	Adriano Pirulito 
171	Oeste: Barra e JPA	Herminho Anão da VGC 
172	Oeste: Grande Bangu	Pipi de Jorge 
173	Grande Méier	Zé Perninha 
174	Grande Méier	Ferreira do Suvacão 
175	Oeste: Outros	Alessandro Fuscão 
176	Oeste: Outros	Capitã Cloroquina 
177	Oeste: Grande Bangu	Pipi de Jorge 
178	Grande Méier	Enia da Toca da Onça 
179	Norte	Capitã Cloroquina 
180	Oeste: Barra e JPA	Enia da Toca da Onça 
181	Oeste: Barra e JPA	Capitã Cloroquina 
182	Oeste: Grande Bangu	Capitã Cloroquina 
183	Norte	Herminho Anão da VGC 
184	Oeste: Grande Bangu	Pé de Pato do Lixo 
185	Oeste: Barra e JPA	Dudu Cremoso 
186	Oeste: Grande Bangu	Adriano Pirulito 
187	Grande Méier	Enia da Toca da Onça 
188	Grande Méier	Adriano Pirulito 
189	Oeste: Grande Bangu	Zé Perninha 
190	Oeste: Grande Bangu	Enia da Toca da Onça 
191	Oeste: Barra e JPA	Adriano Pirulito 
192	Oeste: Grande Bangu	Pipi de Jorge 
193	Oeste: Barra e JPA	Pipi de Jorge 
194	Oeste: Grande Bangu	Dudu Cremoso 
195	Norte	Dudu Cremoso 
196	Oeste: Barra e JPA	Capitã Cloroquina 
197	Grande Méier	Alessandro Fuscão 
198	Oeste: Grande Bangu	Enia da Toca da Onça 
199	Oeste: Outros	Enia da Toca da Onça 
200	Norte	Pé de Pato do Lixo 
201	Oeste: Barra e JPA	Capitã Cloroquina 
202	Grande Méier	Dudu Cremoso 
203	Oeste: Outros	Herminho Anão da VGC 
204	Oeste: Outros	Pipi de Jorge 
205	Oeste: Outros	Capitã Cloroquina 
206	Oeste: Outros	Alessandro Fuscão 
207	Norte	Pé de Pato do Lixo 
208	Grande Méier	Pé de Pato do Lixo 
209	Oeste: Barra e JPA	Enia da Toca da Onça 
210	Oeste: Outros	Capitã Cloroquina 
211	Oeste: Barra e JPA	Ferreira do Suvacão 
212	Norte	Pipi de Jorge 
213	Oeste: Grande Bangu	Ferreira do Suvacão 
214	Oeste: Grande Bangu	Dudu Cremoso 
215	Oeste: Grande Bangu	Alessandro Fuscão 
216	Grande Méier	Capitã Cloroquina 
217	Grande Méier	Ferreira do Suvacão 
218	Norte	Pé de Pato do Lixo 
219	Norte	Zé Perninha 
220	Grande Méier	Alessandro Fuscão 
221	Oeste: Outros	Enia da Toca da Onça 
222	Oeste: Grande Bangu	Adriano Pirulito 
223	Oeste: Barra e JPA	Zé Perninha 
224	Oeste: Barra e JPA	Alessandro Fuscão 
225	Norte	Adriano Pirulito 
226	Grande Méier	Capitã Cloroquina 
227	Oeste: Barra e JPA	Capitã Cloroquina 
228	Oeste: Barra e JPA	Herminho Anão da VGC 
229	Oeste: Barra e JPA	Alessandro Fuscão 
230	Grande Méier	Dudu Cremoso 
231	Norte	Dudu Cremoso 
232	Oeste: Grande Bangu	Capitã Cloroquina 
233	Oeste: Outros	Herminho Anão da VGC 
234	Oeste: Outros	Pé de Pato do Lixo 
235	Oeste: Grande Bangu	Ferreira do Suvacão 
236	Oeste: Grande Bangu	Zé Perninha 
237	Oeste: Barra e JPA	Pipi de Jorge 
238	Oeste: Outros	Enia da Toca da Onça 
239	Oeste: Outros	Zé Perninha 
240	Oeste: Outros	Herminho Anão da VGC 
241	Oeste: Grande Bangu	Zé Perninha 
242	Oeste: Grande Bangu	Herminho Anão da VGC 
243	Oeste: Grande Bangu	Ferreira do Suvacão 
244	Grande Méier	Enia da Toca da Onça 
245	Oeste: Grande Bangu	Capitã Cloroquina 
246	Oeste: Barra e JPA	Ferreira do Suvacão 
247	Oeste: Outros	Pipi de Jorge 
248	Oeste: Grande Bangu	Zé Perninha 
249	Oeste: Grande Bangu	Pipi de Jorge 
250	Oeste: Grande Bangu	Alessandro Fuscão 
251	Oeste: Outros	Pipi de Jorge 
252	Oeste: Grande Bangu	Capitã Cloroquina 
253	Oeste: Outros	Enia da Toca da Onça 
254	Grande Méier	Zé Perninha 
255	Oeste: Outros	Pipi de Jorge 
256	Norte	Capitã Cloroquina 
257	Norte	Herminho Anão da VGC 
258	Oeste: Barra e JPA	Adriano Pirulito 
259	Norte	Zé Perninha 
260	Oeste: Barra e JPA	Pipi de Jorge 
261	Norte	Zé Perninha 
262	Oeste: Grande Bangu	Dudu Cremoso 
263	Oeste: Outros	Valéria Minha Prima 
264	Oeste: Outros	Quinzinho da Água Parada 
265	Grande Méier	Alessandro Fuscão 
266	Grande Méier	Alessandro Fuscão 
267	Grande Méier	Alessandro Fuscão 
268	Oeste: Outros	Agenor Passa Régua 
269	Oeste: Barra e JPA	Ângela do Zé Rolinha 
270	Oeste: Grande Bangu	Professor Goiaba 
271	Grande Méier	Professor Goiaba 
272	Norte	Ângela do Zé Rolinha 
273	Norte	Adriano Pirulito 
274	Oeste: Barra e JPA	Professor Goiaba 
275	Oeste: Barra e JPA	Ângela do Zé Rolinha 
276	Norte	Quinzinho da Água Parada 
277	Norte	Adriano Pirulito 
278	Norte	Dudu Cremoso 
279	Grande Méier	Quinzinho da Água Parada 
280	Oeste: Grande Bangu	Agenor Passa Régua 
281	Oeste: Barra e JPA	Enia da Toca da Onça 
282	Oeste: Outros	Alessandro Fuscão 
283	Oeste: Barra e JPA	Professor Goiaba 
284	Norte	Enia da Toca da Onça 
285	Grande Méier	Ângela do Zé Rolinha 
286	Oeste: Outros	Alessandro Fuscão 
287	Grande Méier	Enia da Toca da Onça 
288	Grande Méier	Adriano Pirulito 
289	Norte	Dudu Cremoso 
290	Oeste: Barra e JPA	Ângela do Zé Rolinha 
291	Oeste: Outros	Gordinho da Usina 
292	Norte	Ferreira do Suvacão 
293	Oeste: Outros	Ângela do Zé Rolinha 
294	Grande Méier	Gordinho da Usina 
295	Oeste: Outros	Dudu Cremoso 
296	Norte	Enia da Toca da Onça 
297	Oeste: Outros	Ângela do Zé Rolinha 
298	Grande Méier	Alessandro Fuscão 
299	Grande Méier	Quinzinho da Água Parada 
300	Norte	Ângela do Zé Rolinha 
301	Oeste: Barra e JPA	Alessandro Fuscão 
302	Grande Méier	Dudu Cremoso 
303	Grande Méier	Quinzinho da Água Parada 
304	Norte	Agenor Passa Régua 
305	Oeste: Outros	Quinzinho da Água Parada 
306	Oeste: Barra e JPA	Valéria Minha Prima 
307	Grande Méier	Enia da Toca da Onça 
308	Oeste: Outros	Enia da Toca da Onça 
309	Oeste: Barra e JPA	Professor Goiaba 
310	Grande Méier	Professor Goiaba 
311	Oeste: Grande Bangu	Ferreira do Suvacão 
312	Oeste: Outros	Ângela do Zé Rolinha 
313	Oeste: Outros	Ferreira do Suvacão 
314	Oeste: Barra e JPA	Adriano Pirulito 
315	Oeste: Grande Bangu	Dudu Cremoso 
316	Norte	Ângela do Zé Rolinha 
317	Grande Méier	Agenor Passa Régua 
318	Norte	Dudu Cremoso 
319	Oeste: Grande Bangu	Alessandro Fuscão 
320	Norte	Ângela do Zé Rolinha 
321	Norte	Dudu Cremoso 
322	Grande Méier	Agenor Passa Régua 
323	Oeste: Grande Bangu	Valéria Minha Prima 
324	Grande Méier	Gordinho da Usina 
325	Oeste: Barra e JPA	Valéria Minha Prima 
326	Oeste: Grande Bangu	Professor Goiaba 
327	Norte	Valéria Minha Prima 
328	Oeste: Barra e JPA	Ângela do Zé Rolinha 
329	Oeste: Barra e JPA	Valéria Minha Prima 
330	Oeste: Grande Bangu	Agenor Passa Régua 
331	Oeste: Grande Bangu	Dudu Cremoso 
332	Oeste: Grande Bangu	Alessandro Fuscão 
333	Grande Méier	Professor Goiaba 
334	Norte	Professor Goiaba 
335	Norte	Enia da Toca da Onça 
336	Oeste: Outros	Dudu Cremoso 
337	Norte	Dudu Cremoso 
338	Grande Méier	Gordinho da Usina 
339	Oeste: Grande Bangu	Professor Goiaba 
340	Oeste: Barra e JPA	Quinzinho da Água Parada 
341	Grande Méier	Ângela do Zé Rolinha 
342	Grande Méier	Gordinho da Usina 
343	Grande Méier	Valéria Minha Prima 
344	Oeste: Outros	Alessandro Fuscão 
345	Oeste: Barra e JPA	Enia da Toca da Onça 
346	Norte	Ferreira do Suvacão 
347	Norte	Alessandro Fuscão 
348	Oeste: Barra e JPA	Alessandro Fuscão 
349	Norte	Ângela do Zé Rolinha 
350	Grande Méier	Alessandro Fuscão 
351	Grande Méier	Ferreira do Suvacão 
352	Oeste: Grande Bangu	Valéria Minha Prima 
353	Grande Méier	Valéria Minha Prima 
354	Oeste: Outros	Valéria Minha Prima 
355	Oeste: Outros	Quinzinho da Água Parada 
356	Oeste: Outros	Enia da Toca da Onça 
357	Grande Méier	Enia da Toca da Onça 
358	Norte	Dudu Cremoso 
359	Oeste: Outros	Quinzinho da Água Parada 
360	Oeste: Grande Bangu	Dudu Cremoso 
361	Oeste: Grande Bangu	Ângela do Zé Rolinha 
362	Norte	Alessandro Fuscão 
363	Norte	Adriano Pirulito 
364	Oeste: Barra e JPA	Professor Goiaba 
365	Norte	Adriano Pirulito 
366	Grande Méier	Professor Goiaba 
367	Norte	Valéria Minha Prima 
368	Grande Méier	Adriano Pirulito 
369	Oeste: Grande Bangu	Enia da Toca da Onça 
370	Oeste: Barra e JPA	Agenor Passa Régua 
371	Oeste: Barra e JPA	Dudu Cremoso 
372	Grande Méier	Quinzinho da Água Parada 
373	Oeste: Outros	Dudu Cremoso 
374	Oeste: Barra e JPA	Professor Goiaba 
375	Norte	Agenor Passa Régua 
376	Oeste: Barra e JPA	Dudu Cremoso 
377	Norte	Dudu Cremoso 
378	Grande Méier	Agenor Passa Régua 
379	Oeste: Outros	Adriano Pirulito 
380	Norte	Dudu Cremoso 
381	Oeste: Outros	Dudu Cremoso 
382	Oeste: Barra e JPA	Professor Goiaba 
383	Oeste: Grande Bangu	Adriano Pirulito 
384	Oeste: Grande Bangu	Valéria Minha Prima 
385	Oeste: Barra e JPA	Enia da Toca da Onça 
386	Norte	Ângela do Zé Rolinha 
387	Norte	Ferreira do Suvacão 
388	Oeste: Grande Bangu	Ferreira do Suvacão 
389	Norte	Quinzinho da Água Parada 
390	Norte	Quinzinho da Água Parada 
391	Grande Méier	Agenor Passa Régua 
392	Grande Méier	Agenor Passa Régua 
393	Oeste: Outros	Agenor Passa Régua 
394	Oeste: Barra e JPA	Ferreira do Suvacão 
395	Oeste: Outros	Valéria Minha Prima 
396	Norte	Agenor Passa Régua 
397	Oeste: Grande Bangu	Dudu Cremoso 
398	Grande Méier	Professor Goiaba 
399	Grande Méier	Ângela do Zé Rolinha 
400	Norte	Gordinho da Usina 
401	Oeste: Outros	Enia da Toca da Onça 
402	Oeste: Grande Bangu	Agenor Passa Régua 
403	Grande Méier	Ângela do Zé Rolinha 
404	Grande Méier	Adriano Pirulito 
405	Norte	Professor Goiaba 
406	Oeste: Grande Bangu	Agenor Passa Régua 
407	Oeste: Barra e JPA	Gordinho da Usina 
408	Oeste: Outros	Ângela do Zé Rolinha 
409	Norte	Dudu Cremoso 
410	Oeste: Barra e JPA	Ângela do Zé Rolinha 
411	Oeste: Outros	Professor Goiaba 
412	Oeste: Outros	Valéria Minha Prima 
413	Norte	Agenor Passa Régua 
414	Norte	Ferreira do Suvacão 
415	Norte	Professor Goiaba 
416	Oeste: Barra e JPA	Dudu Cremoso 
417	Norte	Agenor Passa Régua 
418	Oeste: Outros	Enia da Toca da Onça 
419	Grande Méier	Valéria Minha Prima 
420	Norte	Agenor Passa Régua 
421	Oeste: Grande Bangu	Enia da Toca da Onça 
422	Norte	Ângela do Zé Rolinha 
423	Oeste: Grande Bangu	Alessandro Fuscão 
424	Grande Méier	Ângela do Zé Rolinha 
425	Grande Méier	Enia da Toca da Onça 
426	Norte	Gordinho da Usina 
427	Grande Méier	Ângela do Zé Rolinha 
428	Norte	Professor Goiaba 
429	Norte	Adriano Pirulito 
430	Grande Méier	Alessandro Fuscão 
431	Oeste: Outros	Quinzinho da Água Parada 
432	Oeste: Barra e JPA	Ferreira do Suvacão 
433	Norte	Agenor Passa Régua 
434	Grande Méier	Ferreira do Suvacão 
435	Oeste: Outros	Enia da Toca da Onça 
436	Oeste: Outros	Valéria Minha Prima 
437	Oeste: Grande Bangu	Alessandro Fuscão 
438	Oeste: Outros	Valéria Minha Prima 
439	Oeste: Grande Bangu	Valéria Minha Prima 
440	Oeste: Outros	Valéria Minha Prima 
441	Oeste: Grande Bangu	Adriano Pirulito 
442	Oeste: Grande Bangu	Ângela do Zé Rolinha 
443	Grande Méier	Valéria Minha Prima 
444	Oeste: Grande Bangu	Quinzinho da Água Parada 
445	Norte	Enia da Toca da Onça 
446	Oeste: Barra e JPA	Valéria Minha Prima 
447	Oeste: Grande Bangu	Enia da Toca da Onça 
448	Oeste: Outros	Ferreira do Suvacão 
449	Grande Méier	Adriano Pirulito 
450	Grande Méier	Adriano Pirulito 
451	Grande Méier	Enia da Toca da Onça 
452	Oeste: Outros	Ângela do Zé Rolinha 
453	Oeste: Grande Bangu	Professor Goiaba 
454	Oeste: Outros	Ângela do Zé Rolinha 
455	Oeste: Grande Bangu	Enia da Toca da Onça 
456	Oeste: Outros	Quinzinho da Água Parada 
457	Norte	Quinzinho da Água Parada 
458	Grande Méier	Quinzinho da Água Parada 
459	Oeste: Outros	Quinzinho da Água Parada 
460	Oeste: Grande Bangu	Quinzinho da Água Parada 
461	Oeste: Outros	Quinzinho da Água Parada 
462	Grande Méier	Adriano Pirulito 
463	Grande Méier	Gordinho da Usina 
464	Oeste: Grande Bangu	Agenor Passa Régua 
465	Norte	Enia da Toca da Onça 
466	Oeste: Grande Bangu	Ferreira do Suvacão 
467	Oeste: Barra e JPA	Quinzinho da Água Parada 
468	Oeste: Outros	Quinzinho da Água Parada 
469	Oeste: Barra e JPA	Valéria Minha Prima 
470	Oeste: Barra e JPA	Dudu Cremoso 
471	Oeste: Grande Bangu	Ferreira do Suvacão 
472	Grande Méier	Alessandro Fuscão 
473	Grande Méier	Gordinho da Usina 
474	Grande Méier	Gordinho da Usina 
475	Oeste: Barra e JPA	Quinzinho da Água Parada 
476	Norte	Quinzinho da Água Parada 
477	Grande Méier	Quinzinho da Água Parada 
478	Oeste: Outros	Ferreira do Suvacão 
479	Norte	Gordinho da Usina 
480	Oeste: Outros	Ângela do Zé Rolinha 
481	Oeste: Outros	Gordinho da Usina 
482	Oeste: Grande Bangu	Enia da Toca da Onça 
483	Grande Méier	Alessandro Fuscão 
484	Oeste: Grande Bangu	Dudu Cremoso 
485	Oeste: Grande Bangu	Enia da Toca da Onça 
486	Norte	Valéria Minha Prima 
487	Grande Méier	Dudu Cremoso 
488	Norte	Ferreira do Suvacão 
489	Norte	Adriano Pirulito 
490	Oeste: Barra e JPA	Professor Goiaba 
491	Oeste: Outros	Professor Goiaba 
492	Oeste: Grande Bangu	Adriano Pirulito 
493	Norte	Ferreira do Suvacão 
494	Oeste: Grande Bangu	Quinzinho da Água Parada 
495	Oeste: Grande Bangu	Alessandro Fuscão 
496	Oeste: Outros	Ferreira do Suvacão 
497	Norte	Quinzinho da Água Parada 
498	Oeste: Grande Bangu	Agenor Passa Régua 
499	Norte	Professor Goiaba 
500	Oeste: Grande Bangu	Quinzinho da Água Parada 
501	Norte	Valéria Minha Prima 
502	Grande Méier	Gordinho da Usina 
503	Oeste: Outros	Professor Goiaba 
504	Oeste: Barra e JPA	Ângela do Zé Rolinha 
505	Oeste: Barra e JPA	Valéria Minha Prima 
506	Oeste: Grande Bangu	Dudu Cremoso 
507	Grande Méier	Enia da Toca da Onça 
508	Oeste: Outros	Enia da Toca da Onça 
509	Oeste: Barra e JPA	Adriano Pirulito 
510	Oeste: Grande Bangu	Valéria Minha Prima 
511	Oeste: Outros	Quinzinho da Água Parada 
512	Grande Méier	Ferreira do Suvacão 
513	Oeste: Outros	Ferreira do Suvacão 
514	Norte	Alessandro Fuscão 
515	Norte	Ângela do Zé Rolinha 
516	Oeste: Barra e JPA	Adriano Pirulito 
517	Oeste: Outros	Ângela do Zé Rolinha 
518	Oeste: Outros	Adriano Pirulito 
519	Oeste: Barra e JPA	Dudu Cremoso 
520	Norte	Gordinho da Usina 
521	Oeste: Grande Bangu	Agenor Passa Régua 
522	Oeste: Grande Bangu	Gordinho da Usina 
523	Oeste: Outros	Quinzinho da Água Parada 
524	Grande Méier	Dudu Cremoso 
525	Oeste: Outros	Ferreira do Suvacão 
526	Oeste: Outros	Ângela do Zé Rolinha 
527	Grande Méier	Professor Goiaba 
528	Norte	Agenor Passa Régua 
529	Grande Méier	Ferreira do Suvacão 
530	Oeste: Outros	Ferreira do Suvacão 
531	Norte	Valéria Minha Prima 
532	Oeste: Grande Bangu	Professor Goiaba 
533	Norte	Enia da Toca da Onça 
534	Norte	Adriano Pirulito 
535	Oeste: Barra e JPA	Valéria Minha Prima 
536	Norte	Gordinho da Usina 
537	Oeste: Grande Bangu	Dudu Cremoso 
538	Norte	Quinzinho da Água Parada 
539	Oeste: Barra e JPA	Agenor Passa Régua 
540	Oeste: Outros	Adriano Pirulito 
541	Norte	Professor Goiaba 
542	Oeste: Outros	Gordinho da Usina 
543	Grande Méier	Enia da Toca da Onça 
544	Oeste: Outros	Agenor Passa Régua 
545	Norte	Adriano Pirulito 
546	Oeste: Barra e JPA	Ferreira do Suvacão 
547	Oeste: Grande Bangu	Professor Goiaba 
548	Oeste: Outros	Alessandro Fuscão 
549	Oeste: Barra e JPA	Adriano Pirulito 
550	Grande Méier	Adriano Pirulito 
551	Oeste: Barra e JPA	Alessandro Fuscão 
552	Norte	Ângela do Zé Rolinha 
553	Grande Méier	Professor Goiaba 
554	Oeste: Outros	Quinzinho da Água Parada 
555	Oeste: Grande Bangu	Adriano Pirulito 
556	Oeste: Outros	Enia da Toca da Onça 
557	Oeste: Barra e JPA	Ângela do Zé Rolinha 
558	Norte	Dudu Cremoso 
559	Norte	Alessandro Fuscão 
560	Oeste: Grande Bangu	Ferreira do Suvacão 
561	Norte	Dudu Cremoso 
562	Grande Méier	Ferreira do Suvacão 
563	Oeste: Barra e JPA	Enia da Toca da Onça 
564	Oeste: Barra e JPA	Gordinho da Usina 
565	Oeste: Outros	Valéria Minha Prima 
566	Norte	Ferreira do Suvacão 
567	Oeste: Barra e JPA	Valéria Minha Prima 
568	Oeste: Outros	Dudu Cremoso 
569	Oeste: Barra e JPA	Adriano Pirulito 
570	Norte	Ferreira do Suvacão 
571	Grande Méier	Alessandro Fuscão 
572	Oeste: Outros	Enia da Toca da Onça 
573	Oeste: Barra e JPA	Professor Goiaba 
574	Oeste: Outros	Valéria Minha Prima 
575	Oeste: Outros	Enia da Toca da Onça 
576	Oeste: Outros	Enia da Toca da Onça 
577	Oeste: Outros	Ferreira do Suvacão 
578	Norte	Agenor Passa Régua 
579	Oeste: Outros	Gordinho da Usina 
580	Grande Méier	Enia da Toca da Onça 
581	Grande Méier	Quinzinho da Água Parada 
582	Oeste: Outros	Dudu Cremoso 
583	Oeste: Grande Bangu	Ferreira do Suvacão 
584	Norte	Enia da Toca da Onça 
585	Oeste: Outros	Valéria Minha Prima 
586	Grande Méier	Quinzinho da Água Parada 
587	Grande Méier	Valéria Minha Prima 
588	Oeste: Outros	Adriano Pirulito 
589	Grande Méier	Ferreira do Suvacão 
590	Grande Méier	Gordinho da Usina 
591	Grande Méier	Adriano Pirulito 
592	Oeste: Barra e JPA	Gordinho da Usina 
593	Oeste: Grande Bangu	Professor Goiaba 
594	Oeste: Outros	Adriano Pirulito 
595	Oeste: Outros	Adriano Pirulito 
596	Norte	Ângela do Zé Rolinha 
597	Oeste: Grande Bangu	Ferreira do Suvacão 
598	Oeste: Barra e JPA	Quinzinho da Água Parada 
599	Norte	Ferreira do Suvacão 
600	Norte	Quinzinho da Água Parada 
601	Oeste: Barra e JPA	Agenor Passa Régua 
602	Oeste: Barra e JPA	Ângela do Zé Rolinha 
603	Oeste: Outros	Agenor Passa Régua 
604	Oeste: Barra e JPA	Quinzinho da Água Parada 
605	Grande Méier	Enia da Toca da Onça 
606	Grande Méier	Quinzinho da Água Parada 
